title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count,textual_representation
If Tomorrow Comes,,Sidney Sheldon,Adventure stories,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.",1994.0,4.0,500,49170.0,"Title: If Tomorrow Comes
Subtitle: nan
Authors: Sidney Sheldon
Categories: Adventure stories
Description: One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.
Published Year: 1994.0
Average Rating: 4.04
Num Pages: 501.0
Rating Count: 49170.0
"
Assassin's Apprentice,,Robin Hobb,American fiction,Fantasy-roman.,1996.0,4.0,400,133972.0,"Title: Assassin's Apprentice
Subtitle: nan
Authors: Robin Hobb
Categories: American fiction
Description: Fantasy-roman.
Published Year: 1996.0
Average Rating: 4.15
Num Pages: 460.0
Rating Count: 133972.0
"
Warhost of Vastmark,,Janny Wurts,Fiction,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",1995.0,4.0,500,2966.0,"Title: Warhost of Vastmark
Subtitle: nan
Authors: Janny Wurts
Categories: Fiction
Description: Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.
Published Year: 1995.0
Average Rating: 4.03
Num Pages: 522.0
Rating Count: 2966.0
"
The Once and Future King,,Terence Hanbury White,Arthurian romances,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",1996.0,4.0,800,2805.0,"Title: The Once and Future King
Subtitle: nan
Authors: Terence Hanbury White
Categories: Arthurian romances
Description: An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.
Published Year: 1996.0
Average Rating: 4.04
Num Pages: 823.0
Rating Count: 2805.0
"
Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,Adventure stories,"Available in the U.S. for the first time, this is the second volume in the exceptional Legends of the Riftwar series from ""New York Times""-bestselling authors Feist and Rosenberg.",2003.0,4.0,300,5083.0,"Title: Murder in LaMut
Subtitle: nan
Authors: Raymond E. Feist;Joel Rosenberg
Categories: Adventure stories
Description: Available in the U.S. for the first time, this is the second volume in the exceptional Legends of the Riftwar series from ""New York Times""-bestselling authors Feist and Rosenberg.
Published Year: 2003.0
Average Rating: 3.7
Num Pages: 337.0
Rating Count: 5083.0
"
Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,Fantasy fiction,"Jimmy the Hand, boy thief of Krondor, lived in the shadows of the city. Though gifted beyond his peers, Jimmy is merely a pickpocket with potential--until he aids Prince Arutha in the rescue of Princess Anita from Duke Guy du Bas-Tyra, and runs afoul of ""Black Guy's"" secret police. Facing a choice between disappearing on his own or in a weighted barrel at the bottom of Krondor's harbor, Jimmy chooses the former. Forced to flee the only home he's ever known, Jimmy finds himself among the unsuspecting rural villagers of Land's End, where he hopes to prosper with his talents for con and thievery. But Land's End is home to many who tread the crooked path--and to a dark, dangerous presence even the local smugglers don't recognize. And suddenly Jimmy's youthful bravado and courage are leading him into the maw of chaos . . . and, quite possibly, to his doom.",2003.0,4.0,300,5579.0,"Title: Jimmy the Hand
Subtitle: nan
Authors: Raymond E. Feist;S. M. Stirling
Categories: Fantasy fiction
Description: Jimmy the Hand, boy thief of Krondor, lived in the shadows of the city. Though gifted beyond his peers, Jimmy is merely a pickpocket with potential--until he aids Prince Arutha in the rescue of Princess Anita from Duke Guy du Bas-Tyra, and runs afoul of ""Black Guy's"" secret police. Facing a choice between disappearing on his own or in a weighted barrel at the bottom of Krondor's harbor, Jimmy chooses the former. Forced to flee the only home he's ever known, Jimmy finds himself among the unsuspecting rural villagers of Land's End, where he hopes to prosper with his talents for con and thievery. But Land's End is home to many who tread the crooked path--and to a dark, dangerous presence even the local smugglers don't recognize. And suddenly Jimmy's youthful bravado and courage are leading him into the maw of chaos . . . and, quite possibly, to his doom.
Published Year: 2003.0
Average Rating: 3.95
Num Pages: 368.0
Rating Count: 5579.0
"
Well of Darkness,,Margaret Weis;Tracy Hickman,Unknown,"Gareth is just a frightened young lad when he is drafted in to be the whipping-boy for the unruly Prince Dagnarus. Yet as they grow to be men, an unshakable bond is formed. And it is their destiny for them to become the two most powerful - and feared - men in the kingdom. But when Dagnarus decides to become a knight himself, he begins a chain of evil events that threaten to destroy the entire kingdom. Only by uniting the Sovereign Stone can peace be restored, and it is up to Dagnarus' brother Helmos to try to achieve this impossible task, using his father's soldiers against his brother's army. All the while, Gareth is gaining mastery over the sinister Void magic, and he is devoted to helping his childhood companion.. This gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters, as we follow them from boys to men. Filled with action, suspense and wonderfully imaginative characters, Water From the Well of Darkness is set to elevate the careers of bestselling authors Weis & Hickman to spectacular new heights.",2001.0,4.0,500,68.0,"Title: Well of Darkness
Subtitle: nan
Authors: Margaret Weis;Tracy Hickman
Categories: nan
Description: Gareth is just a frightened young lad when he is drafted in to be the whipping-boy for the unruly Prince Dagnarus. Yet as they grow to be men, an unshakable bond is formed. And it is their destiny for them to become the two most powerful - and feared - men in the kingdom. But when Dagnarus decides to become a knight himself, he begins a chain of evil events that threaten to destroy the entire kingdom. Only by uniting the Sovereign Stone can peace be restored, and it is up to Dagnarus' brother Helmos to try to achieve this impossible task, using his father's soldiers against his brother's army. All the while, Gareth is gaining mastery over the sinister Void magic, and he is devoted to helping his childhood companion.. This gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters, as we follow them from boys to men. Filled with action, suspense and wonderfully imaginative characters, Water From the Well of Darkness is set to elevate the careers of bestselling authors Weis & Hickman to spectacular new heights.
Published Year: 2001.0
Average Rating: 3.66
Num Pages: 599.0
Rating Count: 68.0
"
Witness for the Prosecution & Selected Plays,,Agatha Christie,English drama,"Newly-Jacketed Edition Designed To Celebrate The 50Th Anniversary Of Christie S Faultlessly Plotted Witness For The Prosecution And Other Outstanding Plays. The Perfect Complement To The Latest Edition Of The Mousetrap And Selected Plays (50Th Aniversary Edition). Headlining This Book Is Witness For The Prosecution Christie S Highly Successful Stage Play Which Won The New York Drama Critics Circle Award For Best Foreign Play. A Stunning Courtroom Drama, It Tells The Story Of A Scheming Wife Testifying Against Her Husband In A Shocking Murder Trial. The Wild Beauty Of A Seaside House Perched High On The Devonshire River Tern Provides A Stunning Back-Drop In Towards Zero As A Psychopathic Murderer Homes In On The Unsuspecting Victims. Passion, Murder And Love Are The Deadly Ingredients In Verdict, Making It One Of Christie S More Unusual Thrillers And Prompting Her To Label It The Best Play I Have Written With The Exception Of Witness For The Prosecution . Go Back For Murder Tells The Story Of The Young And Feisty Carla Who, Orphaned At The Tender Age Of Five, Discovers Her Mother Was Imprisioned For Murdering Her Father And Determines To Prove Her Innocence.",1995.0,4.0,300,3908.0,"Title: Witness for the Prosecution & Selected Plays
Subtitle: nan
Authors: Agatha Christie
Categories: English drama
Description: Newly-Jacketed Edition Designed To Celebrate The 50Th Anniversary Of Christie S Faultlessly Plotted Witness For The Prosecution And Other Outstanding Plays. The Perfect Complement To The Latest Edition Of The Mousetrap And Selected Plays (50Th Aniversary Edition). Headlining This Book Is Witness For The Prosecution Christie S Highly Successful Stage Play Which Won The New York Drama Critics Circle Award For Best Foreign Play. A Stunning Courtroom Drama, It Tells The Story Of A Scheming Wife Testifying Against Her Husband In A Shocking Murder Trial. The Wild Beauty Of A Seaside House Perched High On The Devonshire River Tern Provides A Stunning Back-Drop In Towards Zero As A Psychopathic Murderer Homes In On The Unsuspecting Victims. Passion, Murder And Love Are The Deadly Ingredients In Verdict, Making It One Of Christie S More Unusual Thrillers And Prompting Her To Label It The Best Play I Have Written With The Exception Of Witness For The Prosecution . Go Back For Murder Tells The Story Of The Young And Feisty Carla Who, Orphaned At The Tender Age Of Five, Discovers Her Mother Was Imprisioned For Murdering Her Father And Determines To Prove Her Innocence.
Published Year: 1995.0
Average Rating: 4.05
Num Pages: 352.0
Rating Count: 3908.0
"
The Little House,,Philippa Gregory,Country life,"It was easy for Elizabeth. She married the man she loved. It was harder for Ruth. She married Elizabeth's son and then found that, somehow, she could never quite measure up. This thriller examines what women want and what they fear, as Ruth confronts the shifting borders of her own sanity.",1998.0,4.0,300,1832.0,"Title: The Little House
Subtitle: nan
Authors: Philippa Gregory
Categories: Country life
Description: It was easy for Elizabeth. She married the man she loved. It was harder for Ruth. She married Elizabeth's son and then found that, somehow, she could never quite measure up. This thriller examines what women want and what they fear, as Ruth confronts the shifting borders of her own sanity.
Published Year: 1998.0
Average Rating: 3.66
Num Pages: 368.0
Rating Count: 1832.0
"
Mystical Paths,,Susan Howatch,English fiction,1968 finds Nicholas Darrow wrestling with personal problems. How can he marry Rosalind when he is unable to avoid promiscuity? How can he become a priest when he finds it so difficult to live as one? And can he break his dangerous dependence on his father?,1996.0,4.0,500,1023.0,"Title: Mystical Paths
Subtitle: nan
Authors: Susan Howatch
Categories: English fiction
Description: 1968 finds Nicholas Darrow wrestling with personal problems. How can he marry Rosalind when he is unable to avoid promiscuity? How can he become a priest when he finds it so difficult to live as one? And can he break his dangerous dependence on his father?
Published Year: 1996.0
Average Rating: 4.23
Num Pages: 576.0
Rating Count: 1023.0
"
Glittering Images,,Susan Howatch,English fiction,"It is 1937, and Charles Ashworth, a Canon to the Archbishop of Canterbury, is sent to untangle a web of self-delusion and corruption at the episcopal palace of the charismatic Bishop of Starbridge.",1996.0,4.0,500,2045.0,"Title: Glittering Images
Subtitle: nan
Authors: Susan Howatch
Categories: English fiction
Description: It is 1937, and Charles Ashworth, a Canon to the Archbishop of Canterbury, is sent to untangle a web of self-delusion and corruption at the episcopal palace of the charismatic Bishop of Starbridge.
Published Year: 1996.0
Average Rating: 4.07
Num Pages: 512.0
Rating Count: 2045.0
"
Glamorous Powers,,Susan Howatch,Clergy,"Reissue of the author's most famous and well-loved work, the Starbridge series, six self-contained yet interconnected novels that explore the history of the Church of England through the 20th century.",1996.0,4.0,500,1441.0,"Title: Glamorous Powers
Subtitle: nan
Authors: Susan Howatch
Categories: Clergy
Description: Reissue of the author's most famous and well-loved work, the Starbridge series, six self-contained yet interconnected novels that explore the history of the Church of England through the 20th century.
Published Year: 1996.0
Average Rating: 4.2
Num Pages: 512.0
Rating Count: 1441.0
"
The Mad Ship,,Robin Hobb,Fantasy fiction,"Fantasy master Robin Hobb delivers the stunning second volume of her Liveship Traders trilogy, returning to the timeless city of Bingtown, where pirates now plague the coasts and the dreaded slave trade flourishes. Althea Vestrit doesnt have time to be afraid, for her familys newly awakened Liveship, Vivacia, has been seized by the ruthless pirate Kennit. So Althea hatches a bold plan. But to carry it out, she must recruit a Liveship that has already slain two crews -- and is said to be insane.",2000.0,4.0,900,36101.0,"Title: The Mad Ship
Subtitle: nan
Authors: Robin Hobb
Categories: Fantasy fiction
Description: Fantasy master Robin Hobb delivers the stunning second volume of her Liveship Traders trilogy, returning to the timeless city of Bingtown, where pirates now plague the coasts and the dreaded slave trade flourishes. Althea Vestrit doesnt have time to be afraid, for her familys newly awakened Liveship, Vivacia, has been seized by the ruthless pirate Kennit. So Althea hatches a bold plan. But to carry it out, she must recruit a Liveship that has already slain two crews -- and is said to be insane.
Published Year: 2000.0
Average Rating: 4.24
Num Pages: 906.0
Rating Count: 36101.0
"
Post Captain,,Patrick O'Brian,"Aubrey, Jack (Fictitious character)","This tale begins with Jack Aubrey arriving home from his exploits in the Mediterranean to find England at peace following the Treaty of Amiens. He and his friend Stephen Maturin, surgeon and secret agent, begin to live the lives of country gentlemen, hunting, entertaining and enjoying more amorous adventures. Their comfortable existence, however, is cut short when Jack is overnight reduced to a pauper with enough debts to keep him in prison for life. He flees to the continent to seek refuge: instead he finds himself a hunted fugitive as Napoleon has ordered the internment of all Englishmen in France. Aubrey's adventures in escaping from France and the debtors' prison will grip the reader as fast as his unequalled actions at sea.",1996.0,4.0,400,7815.0,"Title: Post Captain
Subtitle: nan
Authors: Patrick O'Brian
Categories: Aubrey, Jack (Fictitious character)
Description: This tale begins with Jack Aubrey arriving home from his exploits in the Mediterranean to find England at peace following the Treaty of Amiens. He and his friend Stephen Maturin, surgeon and secret agent, begin to live the lives of country gentlemen, hunting, entertaining and enjoying more amorous adventures. Their comfortable existence, however, is cut short when Jack is overnight reduced to a pauper with enough debts to keep him in prison for life. He flees to the continent to seek refuge: instead he finds himself a hunted fugitive as Napoleon has ordered the internment of all Englishmen in France. Aubrey's adventures in escaping from France and the debtors' prison will grip the reader as fast as his unequalled actions at sea.
Published Year: 1996.0
Average Rating: 4.29
Num Pages: 474.0
Rating Count: 7815.0
"
The Reverse of the Medal,,Patrick O'Brian,Adventure stories,"In this book, Jack Aubrey returns from his duties protecting whalers off the South American coast and is persuaded by a casual acquaintance to make investments in the City on the strength of supposedly certain information. From there he is led into the half-worlds of the London criminal underground and of government espionage - the province of his friend, Stephen Maturin.",1997.0,4.0,200,177.0,"Title: The Reverse of the Medal
Subtitle: nan
Authors: Patrick O'Brian
Categories: Adventure stories
Description: In this book, Jack Aubrey returns from his duties protecting whalers off the South American coast and is persuaded by a casual acquaintance to make investments in the City on the strength of supposedly certain information. From there he is led into the half-worlds of the London criminal underground and of government espionage - the province of his friend, Stephen Maturin.
Published Year: 1997.0
Average Rating: 4.41
Num Pages: 261.0
Rating Count: 177.0
"
Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English","Miss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.",1997.0,4.0,300,6235.0,"Title: Miss Marple
Subtitle: The Complete Short Stories
Authors: Agatha Christie
Categories: Detective and mystery stories, English
Description: Miss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.
Published Year: 1997.0
Average Rating: 4.2
Num Pages: 359.0
Rating Count: 6235.0
"
The Years of Rice and Salt,,Kim Stanley Robinson,Black Death,"Hailed by ""The New York Times Book Review"" as ""eye-opening, "" this alternative history of the last 600 years begins as the Black Death kills nearly everyone in Europe, and China, India, and the nations of Islam now control the world.",2003.0,4.0,700,194.0,"Title: The Years of Rice and Salt
Subtitle: nan
Authors: Kim Stanley Robinson
Categories: Black Death
Description: Hailed by ""The New York Times Book Review"" as ""eye-opening, "" this alternative history of the last 600 years begins as the Black Death kills nearly everyone in Europe, and China, India, and the nations of Islam now control the world.
Published Year: 2003.0
Average Rating: 3.73
Num Pages: 772.0
Rating Count: 194.0
"
Spares,,Michael Marshall Smith,Human cloning,"Spares - human clones, the ultimate health insurance. An eye for an eye - but some people are doing all the taking. The story of Jack Randall: burnt-out, dropped out, and way overdrawn at the luck bank. But as caretaker on a Spares Farm, he still has a choice, and it might make a difference.",1998.0,4.0,300,2481.0,"Title: Spares
Subtitle: nan
Authors: Michael Marshall Smith
Categories: Human cloning
Description: Spares - human clones, the ultimate health insurance. An eye for an eye - but some people are doing all the taking. The story of Jack Randall: burnt-out, dropped out, and way overdrawn at the luck bank. But as caretaker on a Spares Farm, he still has a choice, and it might make a difference.
Published Year: 1998.0
Average Rating: 4.13
Num Pages: 317.0
Rating Count: 2481.0
"
Gravity,,Tess Gerritsen,Science fiction,"Emma Watson a research physician has been training for the mission of a lifetime: to study living organisms in the microgravity of space. But the true and lethal nature of the experiment has not been revealed to NASA and once aboard the space station things start to go wrong. A culture of single-celled Archaeons, gathered from the deep sea, begin to rapidly multiply and infect the crew - with deadly and agonising results. As her estranged husband and ground crew at NASA work against the clock to launch a rescue Emma stuggles to contain the lethal microbe. But with the contagion threatening Earth's population, there are those who would leave the astronauts stranded in orbit, quarantined aboard the station.",2004.0,4.0,300,8024.0,"Title: Gravity
Subtitle: nan
Authors: Tess Gerritsen
Categories: Science fiction
Description: Emma Watson a research physician has been training for the mission of a lifetime: to study living organisms in the microgravity of space. But the true and lethal nature of the experiment has not been revealed to NASA and once aboard the space station things start to go wrong. A culture of single-celled Archaeons, gathered from the deep sea, begin to rapidly multiply and infect the crew - with deadly and agonising results. As her estranged husband and ground crew at NASA work against the clock to launch a rescue Emma stuggles to contain the lethal microbe. But with the contagion threatening Earth's population, there are those who would leave the astronauts stranded in orbit, quarantined aboard the station.
Published Year: 2004.0
Average Rating: 4.04
Num Pages: 342.0
Rating Count: 8024.0
"
